iter	Passed	Remaining
661	792	404
662	793	403
663	793	401
664	795	400
665	795	399
666	796	397
667	797	396
668	798	394
669	798	393
670	799	392
671	800	390
672	802	389
673	802	388
674	803	387
675	804	385
676	805	384
677	806	382
678	807	381
679	808	380
680	809	378
681	809	377
682	810	376
683	811	374
684	812	373
685	813	372
686	814	370
687	815	369
688	815	368
689	816	366
690	817	365
691	818	364
692	819	362
693	820	361
694	821	360
695	821	358
696	822	357
697	823	356
698	824	354
699	825	353
700	826	352
701	827	351
702	828	349
703	829	348
704	829	347
705	830	345
706	831	344
707	832	343
708	833	342
709	834	340
710	835	339
711	835	338
712	836	336
713	837	335
714	838	334
715	839	333
716	840	331
717	841	330
718	842	329
719	843	327
720	844	326
721	845	325
722	846	324
723	846	322
724	847	321
725	848	320
726	849	318
727	850	317
728	851	316
729	852	315
730	853	313
731	853	312
732	854	311
733	855	309
734	856	308
735	857	307
736	858	306
737	859	305
738	860	303
739	861	302
740	862	301
741	862	300
742	863	298
743	864	297
744	865	296
745	866	294
746	867	293
747	867	292
748	868	291
749	869	289
750	870	288
751	871	287
752	872	286
753	872	284
754	873	283
755	874	282
756	875	281
757	876	279
758	877	278
759	877	277
760	878	275
761	879	274
762	880	273
763	881	272
764	882	271
765	883	269
766	883	268
767	884	267
768	885	265
769	886	264
770	886	263
771	887	262
772	888	261
773	889	259
774	890	258
775	891	257
776	892	256
777	892	254
778	893	253
779	895	252
780	896	251
781	897	250
782	897	248
783	898	247
784	899	246
785	900	245
786	901	243
787	902	242
788	902	241
789	903	240
790	904	238
791	905	237
792	905	236
793	906	235
794	907	234
795	908	232
796	909	231
797	910	230
798	910	229
799	911	227
800	912	226
801	913	225
802	914	224
803	915	223
804	916	221
805	917	220
806	918	219
807	918	218
808	920	217
809	921	216
810	922	214
811	922	213
812	923	212
813	924	211
814	925	210
815	926	208
816	927	207
817	936	208
818	940	207
819	941	206
820	943	205
821	946	205
822	948	203
823	949	202
824	950	201
825	951	200
826	952	199
827	953	198
828	954	196
829	955	195
830	956	194
831	959	193
832	961	192
833	962	191
834	963	190
835	964	189
836	965	188
837	966	186
838	967	185
839	968	184
840	969	183
841	970	182
842	971	180
843	971	179
844	972	178
845	973	177
846	974	175
847	975	174
848	975	173
849	976	172
850	977	171
851	978	169
852	979	168
853	979	167
854	980	166
855	981	165
856	982	163
857	983	162
858	984	161
859	985	160
860	986	159
861	987	158
862	987	156
863	988	155
864	989	154
865	990	153
866	991	152
867	992	150
868	992	149
869	993	148
870	994	147
871	995	146
872	996	144
873	997	143
874	998	142
875	998	141
876	999	140
877	1000	139
878	1001	137
879	1002	136
880	1003	135
881	1004	134
882	1004	133
883	1005	131
884	1006	130
885	1007	129
886	1008	128
887	1008	127
888	1009	126
889	1010	124
890	1011	123
891	1012	122
892	1012	121
893	1014	120
894	1015	119
895	1016	117
896	1017	116
897	1017	115
898	1018	114
899	1019	113
900	1020	112
901	1021	110
902	1022	109
903	1022	108
904	1023	107
905	1024	106
906	1024	105
907	1025	103
908	1026	102
909	1027	101
910	1028	100
911	1029	99
912	1029	98
913	1030	96
914	1031	95
915	1032	94
916	1033	93
917	1034	92
918	1035	91
919	1035	90
920	1036	88
921	1037	87
922	1038	86
923	1038	85
924	1039	84
925	1040	83
926	1041	82
927	1042	80
928	1042	79
929	1043	78
930	1044	77
931	1045	76
932	1046	75
933	1047	73
934	1047	72
935	1048	71
936	1049	70
937	1050	69
938	1051	68
939	1052	67
940	1052	66
941	1053	64
942	1054	63
943	1055	62
944	1055	61
945	1056	60
946	1057	59
947	1058	58
948	1059	56
949	1059	55
950	1060	54
951	1061	53
952	1062	52
953	1063	51
954	1064	50
955	1065	49
956	1065	47
957	1066	46
958	1067	45
959	1067	44
960	1068	43
961	1069	42
962	1070	41
963	1071	40
964	1072	38
965	1073	37
966	1073	36
967	1074	35
968	1075	34
969	1076	33
970	1077	32
971	1078	31
972	1078	29
973	1079	28
974	1080	27
975	1081	26
976	1082	25
977	1083	24
978	1083	23
979	1084	22
980	1085	21
981	1086	19
982	1086	18
983	1087	17
984	1088	16
985	1089	15
986	1090	14
987	1091	13
988	1092	12
989	1092	11
990	1093	9
991	1094	8
992	1095	7
993	1096	6
994	1097	5
995	1098	4
996	1098	3
997	1099	2
998	1100	1
999	1101	0
